period,stock_code,start_date,end_date
2020-02-03,ACES,2020-02-03,2020-05-04
2020-02-03,ADRO,2020-02-03,2020-05-04
2020-02-03,AKRA,2020-02-03,2020-05-04
2020-02-03,ANTM,2020-02-03,2020-05-04
2020-02-03,ASII,2020-02-03,2020-05-04
2020-02-03,BBCA,2020-02-03,2020-05-04
2020-02-03,BBNI,2020-02-03,2020-05-04
2020-02-03,BBRI,2020-02-03,2020-05-04
2020-02-03,BBTN,2020-02-03,2020-05-04
2020-02-03,BMRI,2020-02-03,2020-05-04
2020-02-03,BRPT,2020-02-03,2020-05-04
2020-02-03,BSDE,2020-02-03,2020-05-04
2020-02-03,BTPS,2020-02-03,2020-05-04
2020-02-03,CPIN,2020-02-03,2020-05-04
2020-02-03,CTRA,2020-02-03,2020-05-04
2020-02-03,ERAA,2020-02-03,2020-05-04
2020-02-03,EXCL,2020-02-03,2020-05-04
2020-02-03,GGRM,2020-02-03,2020-05-04
2020-02-03,HMSP,2020-02-03,2020-05-04
2020-02-03,ICBP,2020-02-03,2020-05-04
2020-02-03,INCO,2020-02-03,2020-05-04
2020-02-03,INDF,2020-02-03,2020-05-04
2020-02-03,INKP,2020-02-03,2020-05-04
2020-02-03,INTP,2020-02-03,2020-05-04
2020-02-03,ITMG,2020-02-03,2020-05-04
2020-02-03,JPFA,2020-02-03,2020-05-04
2020-02-03,JSMR,2020-02-03,2020-05-04
2020-02-03,KLBF,2020-02-03,2020-05-04
2020-02-03,LPPF,2020-02-03,2020-05-04
2020-02-03,MNCN,2020-02-03,2020-05-04
2020-02-03,PGAS,2020-02-03,2020-05-04
2020-02-03,PTBA,2020-02-03,2020-05-04
2020-02-03,PTPP,2020-02-03,2020-05-04
2020-02-03,PWON,2020-02-03,2020-05-04
2020-02-03,SCMA,2020-02-03,2020-05-04
2020-02-03,SMGR,2020-02-03,2020-05-04
2020-02-03,SRIL,2020-02-03,2020-05-04
2020-02-03,TBIG,2020-02-03,2020-05-04
2020-02-03,TKIM,2020-02-03,2020-05-04
2020-02-03,TLKM,2020-02-03,2020-05-04
2020-02-03,TOWR,2020-02-03,2020-05-04
